licenses,parsed_address,similarity score,permit,apn,many_to_many
9563 la jolla shores dr 92037,9563 la jolla shores dr 92037,100,str-00025l,3440620100,both
826 santa barbara pl 92109,826 santa barbara pl 92109,100,str-01794l,4236540803,both
754 york court 92109,754 york court 92109,100,str-00728l,4233141500,both
1246 grand av 92109,1246 grand ave 92109,97,str-01487l,4231611804,both
1246 grand av 92109,1246 grand ave 92109,97,str-01515l,4231611804,both
1246 grand av 92109,1246 grand ave 92109,97,str-05886l,4231611804,both
1246 grand av 92109,1246 grand ave 92109,97,str-05883l,4231611804,both
1635 33rd st 92102,1635 33rd st 1/2 92102,100,str-04161l,5393240200,both
745 dover court 92109,742 dover court 92109,95,str-03639l,4236931100,both
755 san luis rey pl 92109,755 san luis rey pl 92109,100,str-01048l,4237440701,both
755 san luis rey pl 92109,755 san luis rey pl 92109,100,str-03224l,4237440701,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-00799l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-03233l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-00421l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-03311l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-00385l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-02576l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-03089l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-02687l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-03156l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-00263l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-01652l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-03553l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-03926l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-02952l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-03517l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-06497l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-01108l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-06626l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-01525l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-01391l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-04280l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-04213l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-01165l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-04919l,4155811347,both
4767 ocean blvd #406 92109,4667 ocean blvd #406 92109,96,str-01728l,4155811347,both
